"","numero","refugio","municipio","direccion","uso_inmueble","servicios","capacidad","latitud","longitud","altitud","responsable","telefono","latitud_decimal","longitud_decimal"
"1-20.11",11,"CENTRO RECREATIVO NICOLAS BRAVO","ACAPONETA ","México ENTRE  CORONA Y GUERRERO","RECREATIVO","AGUA, SANITARIOS Y LUZ ELECTRICA",400,"22ª29'39.76""","105ª21'37.87""",30,"BONIFACIO GUZMAN","325-252-07-17",22.4943777777778,-105.360519444444
"1-20.13",13,"IGLESIA CRISTIANA CONGREGACIONAL","ACAPONETA ","VERACRUZ No 45","RELIGIOSO ","AGUA, SANITARIOS Y LUZ ELECTRICA",50,"22ª29'41.60""","105ª21'40.35""",30,"PASTOR DE LA IGLESIA ","PCM.-323-252-19-46",22.4948888888889,-105.361208333333
"1-20.14",14,"ESCUELA FRAY PEDRO DE GANTE ","AHUACATLAN ","20 DE NOVIEMBRE ","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",80,"21ª03'06.07""","104ª29'03.50""",1000,"MARIA BRUNILDA BAÑUELOS ","324-241-10-69",21.0516861111111,-104.484305555556
"1-20.15",15,"SECUNDARIA FEDERAL REVOLUCION","AHUACATLAN ","20 DE NOVIEMBRE Y ZARAGOZA","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",250,"21ª03'18.33""","104ª28'56.26""",1000,"MA DEL ROSARIO FIGUEROA ","PCM.-324-241-09-86",21.0550916666667,-104.482294444444
"1-20.16",16,"ESCUELA JOSE MARIA MORELOS","AHUACATLAN ","MORELOS Y MANUEL DOBLADO ","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",200,"21ª03'04.55""","104ª29'12.67""",1000,"FRANCISCO JAVIER SOJO RAMOS ","PCM.- 324-241-09-86",21.0512638888889,-104.486852777778
"1-20.17",17,"ESCUELA PREPARATORIA No.8","AHUACATLAN ","CALLE EL SALTO","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",200,"21ª02'57.01""","104ª29'16.71""",1000,"JOSE ANGEL  IBARRA IBARRA","324-241-40-92",21.0491694444444,-104.487975
"1-20.18",18,"ESCUELA PLAN DE AYALA ","AHUACATLAN ","OAXACA E HIDALGO","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",200,"21ª03'02.43""","104ª28'58.82""",1000,"ADOLFO PEREZ MACHAIN","324-241-03-83",21.050675,-104.483005555556
"1-20.19",19,"UNIDAD ACADEMICA DEL SUR ","AHUACATLAN ","CARR A GUADALAJARA KM 153 200","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",200,"21ª03'28.20""","104ª29'06.67""",1000,"OSWALD GUADALUPE MONTAÑO","PCM.- 324-241-09-86",21.0578333333333,-104.485186111111
"1-20.20",20,"CLUB SOCIAL Y DEPORTIVO","AHUACATLAN ","20 DE NOVIEMBRE ","DEPORTE ","AGUA, SANITARIOS Y LUZ ELECTRICA",400,"21ª03'07.37""","104ª29'01""57""",1000,"RAMON ZEPEDA CRESPO","PCM.- 324-241-09-86",21.0520472222222,-104.483769444444
"21-40.1",21,"CASA DE LA CULTURA","AHUACATLAN","HIDALGO S/N","CULTURAL","AGUA, SANITARIOS Y LUZ ELECTRICA",200,"21ª03'01.70""","104ª29'03.34""",1000,"JUANA DE AGUIRRE NAVIDAD","PCM: 324-2410986  CEL. 324-1008914",21.0504722222222,-104.484261111111
"21-40.2",22,"SALON EJIDAL","AHUACATLAN","MORELOS S/N","EJIDAL","AGUA, SANITARIOS Y LUZ ELECTRICA",150,"21ª02'56.84""","104ª28'56.17""",1000,"FRANCISCO IBARRA","PCM: 324-2410986  CEL. 324-1008914",21.0491222222222,-104.482269444444
"21-40.3",23,"DIF MUNICIPAL","AHUACATLAN","MORELOS S/N","MUNICIPAL","AGUA, SANITARIOS Y LUZ ELECTRICA",250,"21ª02'57.03""","104ª28'57.33""",1000,"NORMA ALICIA DOMINGEZ","324-2410132",21.049175,-104.482591666667
"21-40.4",24,"ESCUELA PRIMARIA AMADO NERVO","AHUACATLAN","ZOATLAN","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",60,"21ª01'52.14""","104ª25'51.32",1000,"LETICIA LOPEZ JIMENMEZ","311-2142276",21.03115,-104.430922222222
"21-40.5",25,"ESC. TELESECUNDARIA FRANCISCO VILLA","AHUACATLAN","ZOATLAN","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",20,"21ª01'52.14""","104ª25'51.32",1000,"GREGORIA SOLIS CIBRIAN","311-2142276",21.03115,-104.430922222222
"21-40.6",26,"ESCUELA PRIMARIA EMILIA CARRANZA","AHUACATLAN","LA CIENEGA","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",40,"21ª02'04.32","104ª27'04.56""",1000,"MARIA SILVIA CARRILLO ANZALDO","PCM: 324-2410986  CEL. 324-1008914",21.0345333333333,-104.451266666667
"21-40.7",27,"ESCUELA PRIMARIA BENITO JUAREZ","AHUACATLAN","HERIBERTO JARA","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",144,"21ª03'07.84""","104º31'02.32""",1040,"JOSE MANUEL RIVERA MARMOLEJO ","324-2410691                     CEL 324-1067845",21.0521777777778,-104.517311111111
"21-40.8",28,"LOCAL DE LA HACIENDA","AHUACATLAN","HERIBERTO JARA","RECREATIVO","AGUA, SANITARIOS Y LUZ ELECTRICA",250,"21ª03'07.84""","104º31'02.32""",1040,"OCTAVIO DIAZ","324-2410722",21.0521777777778,-104.517311111111
"21-40.9",29,"ESC. TELESECUNDARIA VALENTIN GOMEZ FARIAS","AHUACATLAN","HERIBERTO JARA","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",40,"21ª03'07.84""","104º31'02.32""",1040,"EDELMIRA GARCIA MONROY","324-2410722",21.0521777777778,-104.517311111111
"21-40.10",30,"ESCUELA PRIMARIA CURSOS COMUNITARIOS","AHUACATLAN","LOS COPALES","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",15,"21ª03'48.03""","104ª31'52.17""",980,"TERESA DE JESUS RASURA MEZA","PCM: 324-2410986  CEL. 324-1008914",21.0633416666667,-104.531158333333
"21-40.11",31,"ESCUELA PRIMARIA NICOLAS BRAVO","AHUACATLAN","LA CAMPANA","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",40,"21ª01'16.72""","104ª33'06.32""",1040,"RICARDO GUZMAN CASTAÑON","PCM: 324-2410986  CEL. 324-1008914",21.0213111111111,-104.551755555556
"21-40.12",32,"CENTRO DE DESARROLLO","AHUACATLAN","LA CAMPANA","CULTURAL","AGUA, SANITARIOS Y LUZ ELECTRICA",20,"21ª01'16.72""","104ª33'06.32""",1040,"ADELA NAVA FLORES","PCM: 324-2410986  CEL. 324-1008914",21.0213111111111,-104.551755555556
"21-40.13",33,"ESC. TELESECUNDARIA JOSE VASCONCELOS","AHUACATLAN","LA CAMPANA","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",30,"21ª01'16.72""","104ª33'06.32""",1040,"LUIS FELIPE ARROYO ALATORRE","PCM: 324-2410986  CEL. 324-1008914",21.0213111111111,-104.551755555556
"21-40.14",34,"ESCUELA PRIMARIA JESUS GARCIA","AHUACATLAN","VALLE VERDE","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",54,"21ª07'14.70""","104ª37'13.26""",750,"RMINDA BECERRA OROZCO","324-2410392",21.12075,-104.62035
"21-40.15",35,"ESCUELA PRIMARIA MIGUEL HIDALGO","AHUACATLAN","TETITLAN","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",100,"21ª07'41.56""","104ª37'01.14""",760,"MA. ESTHER MEZA NOLASCO","324-2410357",21.1282111111111,-104.616983333333
"21-40.16",36,"ESCUELA SECUNDARIA TECNICA NO. 37","AHUACATLAN","TETITLAN","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",50,"21ª07'41.56""","104ª37'01.14""",760,"PROFR. MIGUEL SANDOVAL","324-2410357",21.1282111111111,-104.616983333333
"21-40.17",37,"SALON EJIDAL","AHUACATLAN","TETITLAN","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",50,"21ª07'41.56""","104ª37'01.14""",760,"ARNULFO URIBE CASILLAS","324-2410653",21.1282111111111,-104.616983333333
"21-40.18",38,"ESCUELA SECUNDARIA TECNICA NO. 18","AHUACATLAN","SANTA ISABEL ","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",400,"21º09'43.32""","104º37'27.54""",820,"PROFR. MIGUEL TOPETE DUEÑAS","327-2444596",21.1620333333333,-104.624316666667
"21-40.19",39,"C.B.T.A. NO. 107","AHUACATLAN","SANTA ISABEL ","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",200,"21º09'43.32""","104º37'27.54""",820,"ING. JOSE RAMON MARMOLEJO ALTAMIRANO","327-2444596",21.1620333333333,-104.624316666667
"21-40.20",40,"ESCUELA PRIMARIA REDENCION","AHUACATLAN","SANTA ISABEL ","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",140,"21º09'43.32""","104º37'27.54""",820,"PROFR. AMADO TIZNADO GALINDO","327-2444597",21.1620333333333,-104.624316666667
"41-60.1",41,"SALON EJIDAL","AHUACATLAN","SANTA ISABEL ","EJIDAL","AGUA, SANITARIOS Y LUZ ELECTRICA",200,"21º09'43.32""","104º37'27.54""",820,"MIGUEL BAUTISTA","327-2444597",21.1620333333333,-104.624316666667
"41-60.2",42,"SALON DE USOS MULTIPLES","AHUACATLAN","SANTA ISABEL ","CULTURAL","AGUA, SANITARIOS Y LUZ ELECTRICA",300,"21º09'43.32""","104º37'27.54""",820,"COMITÉ DE ACCION CIUDADANA","327-2444597",21.1620333333333,-104.624316666667
"41-60.3",43,"ESCUELA PRIMARIA GUADALUPE VICTORIA","AHUACATLAN","LAS PALMAS","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",30,"21º01'50.14""","104º40'12.32""",800,"PROFR. ROLANDO ZUÑIGA ANGULO","555-1503665",21.0305944444444,-104.670088888889
"41-60.4",44,"ESC. TELESECUNDARIA LAURO BAÑUELOS B.","AHUACATLAN","LAS PALMAS","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",50,"21º01'50.14""","104º40'12.32""",800,"PROFRA. ARCELIA AVALOS LARAS ","555-1503665",21.0305944444444,-104.670088888889
"41-60.5",45,"ESCUELA PRIMARIA OLIVERIO VARGAS","AHUACATLAN","LAS GLORIAS","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",30,"21º02'37.84""","104º40'50.26""",720,"PROFR. JOSE MANUEL RIVERA MARMOLEJO","PCM: 324-2410986  CEL. 324-1008914",21.0438444444444,-104.680627777778
"41-60.6",46,"ESCUELA PRIMARIA FRANCISCO I. MADERO","AHUACATLAN","SANTA CRUZ DE CAMOTLAN","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",100,"20º57'27.70""","104º40'12.54""",460,"PROFR. JUAN FRANCISCO AGUIAR RODRIGUEZ","200-1268540",20.9576944444444,-104.67015
"41-60.7",47,"ESC. TELESECUNDARIA EMILIANO ZAPATA","AHUACATLAN","SANTA CRUZ DE CAMOTLAN","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",40,"20º57'27.70""","104º40'12.54""",460,"PROFRA. MARIA DE JESUS HERNANDEZ GALLEGOS","200-1268540",20.9576944444444,-104.67015
"41-60.8",48,"SALON EJIDAL","AHUACATLAN","SANTA CRUZ DE CAMOTLAN","EJIDAL","AGUA, SANITARIOS Y LUZ ELECTRICA",200,"20º57'27.70""","104º40'12.54""",460,"HERIBERTO GUTIERREZ IBARRA","200-1268541",20.9576944444444,-104.67015
"41-60.9",49,"ESCUELA PRIMARIA VICENTE GUERRERO","AHUACATLAN","LAS CEBOLLAS","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",20,"21º00'01.32""","104º35'16.32""",1315,"PROFR. MELCHOR BECERRA ANGULO","PCM: 324-2410986  CEL. 324-1008914",21.0003666666667,-104.587866666667
"41-60.10",50,"ESC. TELESECUNDARIA JOSE ORTIZ DE D.","AHUACATLAN","LAS CEBOLLAS","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",40,"21º00'01.32""","104º35'16.32""",1315,"PROFR. VICTOR MANUEL CARVAJAL FLORES","PCM: 324-2410986  CEL. 324-1008914",21.0003666666667,-104.587866666667
"41-60.11",51,"ESCUELA PRIMARIA LAZARO CARDENAS","AHUACATLAN","LAS GUASIMAS","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",30,"20º59'54.14""","104º36'29.32""",1140,"PROFRA. SONIA GUARDADO VALENZUELA","PCM: 324-2410986  CEL. 324-1008914",20.9983722222222,-104.608144444444
"41-60.12",52,"ESCUELA PRIMARIA NARCISO MENDOZA","AHUACATLAN","MARQUEZADO","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",60,"21º04'37.32""","104º34'18.14""",880,"PROFR. JORGE MEJIA GUTIERREZ","200-1247919",21.0770333333333,-104.571705555556
"41-60.13",53,"ESC. TELESECUNDARIA ROSALIO MORALES ","AHUACATLAN","MARQUEZADO","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",60,"21º04'37.32""","104º34'18.14""",880,"PROFRA. MARIA LETICIA VALENZUELA I.","200-1247918",21.0770333333333,-104.571705555556
"41-60.14",54,"SALON EJIDAL","AHUACATLAN","MARQUEZADO","EJIDAL","AGUA, SANITARIOS Y LUZ ELECTRICA",40,"21º04'37.32""","104º34'18.14""",880,"ALVARO IBARRA AVILA","200-1247920",21.0770333333333,-104.571705555556
"41-60.15",55,"ESCUELA PRIMARIA 5 DE MAYO","AHUACATLAN","UZETA","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",80,"21º06'51.94""","104º36'12.88""",770,"PROFRA. MA. MAGDALENA MORA JIMENEZ","324-2415001",21.1144277777778,-104.603577777778
"41-60.16",56,"ESCUELA SECUNDARIA TECNICA NO. 38","AHUACATLAN","UZETA","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",100,"21º06'51.94""","104º36'12.88""",770,"PROFR. ALFREDO ESPINOZA MORALES","324-2415001",21.1144277777778,-104.603577777778
"41-60.17",57,"SALON EJIDAL","AHUACATLAN","UZETA","EJIDAL","AGUA, SANITARIOS Y LUZ ELECTRICA",42,"21º06'51.94""","104º36'12.88""",770,"RICARDO CAMARENA LOPEZ","324-2415001",21.1144277777778,-104.603577777778
"41-60.18",58,"CASINO LA CANDELARIA","AMATLAN DE CAÑAS","ESTANCIA DE LOS LOPEZ","RECREATIVO","AGUA, SANITARIOS Y LUZ ELECTRICA",500,"20º51'31.32""","104º25'59.70""",900,"PROTECCION CIVIL MPAL.","01324-2470281            CEL. 045324-1061620",20.8587,-104.43325
"41-60.19",59,"ESCUELA PRIMARIA BENITO JUAREZ","AMATLAN DE CAÑAS","ESTANCIA DE LOS LOPEZ","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",125,"20º51'31.32""","104º25'59.70""",900,"PROTECCION CIVIL MPAL.","01324-2470281            CEL. 045324-1061620",20.8587,-104.43325
"41-60.20",60,"ESC. SEC. ETA","AMATLAN DE CAÑAS","ESTANCIA DE LOS LOPEZ","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",100,"20º51'31.32""","104º25'59.70""",900,"PROTECCION CIVIL MPAL.","01324-2470281            CEL. 045324-1061620",20.8587,-104.43325
"61-80.1",61,"C.B.T.A.","AMATLAN DE CAÑAS","ESTANCIA DE LOS LOPEZ","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",100,"20º51'31.32""","104º25'59.70""",900,"PROTECCION CIVIL MPAL.","01324-2470281            CEL. 045324-1061620",20.8587,-104.43325
"61-80.2",62,"ESCUELA PRIMARIA EMILIANO ZAPATA","AMATLAN DE CAÑAS","ESTANCIA DE LOS LOPEZ","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",200,"20º51'31.32""","104º25'59.70""",900,"PROTECCION CIVIL MPAL.","01324-2470281            CEL. 045324-1061620",20.8587,-104.43325
"61-80.3",63,"ESCUELA SECUNDARIA","AMATLAN DE CAÑAS","ROSARIO","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",125,"20º53'28.56""","104º28'06.33""",780,"PROTECCION CIVIL MPAL.","01324-2470281            CEL. 045324-1061620",20.8912666666667,-104.468425
"61-80.4",64,"ESCUELA PRIMARIA","AMATLAN DE CAÑAS","ROSARIO","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",75,"20º53'28.56""","104º28'06.33""",780,"PROTECCION CIVIL MPAL.","01324-2470281            CEL. 045324-1061620",20.8912666666667,-104.468425
"61-80.5",65,"ESCUELA PRIMARIA","AMATLAN DE CAÑAS","MEZQUITES","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",100,"20º54'50.28""","104º32'32.76""",540,"PROTECCION CIVIL MPAL.","01324-2470281            CEL. 045324-1061620",20.9139666666667,-104.542433333333
"61-80.6",66,"ESCUELA SECUNDARIA","AMATLAN DE CAÑAS","MEZQUITES","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",50,"20º54'50.28""","104º32'32.76""",540,"PROTECCION CIVIL MPAL.","01324-2470281            CEL. 045324-1061620",20.9139666666667,-104.542433333333
"61-80.7",67,"ALBERGUE COMUNITARIO","AMATLAN DE CAÑAS","MEZQUITES","ALBERGUE","AGUA, SANITARIOS Y LUZ ELECTRICA",50,"20º54'50.28""","104º32'32.76""",540,"PROTECCION CIVIL MPAL.","01324-2470281            CEL. 045324-1061620",20.9139666666667,-104.542433333333
"61-80.8",68,"ESCUELA PRIMARIA","AMATLAN DE CAÑAS","CERRITOS","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",100,"20º55'29.70""","104º36'44.32""",460,"PROTECCION CIVIL MPAL.","01324-2470281            CEL. 045324-1061620",20.9249166666667,-104.612311111111
"61-80.9",69,"ESCUELA PRIMARIA ""AMADO NERVO""","AMATLAN DE CAÑAS","AMATLAN DE CAÑAS","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",200,"20º48'27.42""","104º24'15.21""",760,"PROTECCION CIVIL MPAL.","01324-2470281            CEL. 045324-1061620",20.8076166666667,-104.404225
"61-80.10",70,"LIENZO CHARRO","AMATLAN DE CAÑAS","AMATLAN DE CAÑAS","RECREATIVO","AGUA, SANITARIOS Y LUZ ELECTRICA",250,"20º48'29.99""","104º24'05.31""",760,"PROTECCION CIVIL MPAL.","01324-2470281            CEL. 045324-1061620",20.8083305555556,-104.401475
"61-80.11",71,"CASA DE LA MUJER","AMATLAN DE CAÑAS","AMATLAN DE CAÑAS","CULTURAL","AGUA, SANITARIOS Y LUZ ELECTRICA",75,"20º48'27.10""","104º24'14.06""",760,"PROTECCION CIVIL MPAL.","01324-2470281            CEL. 045324-1061620",20.8075277777778,-104.403905555556
"61-80.12",72,"ESCUELA PRIMARIA","AMATLAN DE CAÑAS","TEPUZHUACAN","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",100,"20º52'42.88""","104º31'13.80""",580,"PROTECCION CIVIL MPAL.","01324-2470281            CEL. 045324-1061620",20.8785777777778,-104.5205
"61-80.13",73,"ESCUELA SECUNDARIA","AMATLAN DE CAÑAS","TEPUZHUACAN","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",100,"20º52'42.88""","104º31'13.80""",580,"PROTECCION CIVIL MPAL.","01324-2470281            CEL. 045324-1061620",20.8785777777778,-104.5205
"61-80.14",74,"ESCUELA PRIMARIA","AMATLAN DE CAÑAS","BARRANCA DEL ORO","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",50,"20º55'27.56""","104º28'49.70""",720,"PROTECCION CIVIL MPAL.","01324-2470281            CEL. 045324-1061620",20.9243222222222,-104.480472222222
"61-80.16",76,"ESCUELA PRIMARIA","AMATLAN DE CAÑAS","AGUA ESCONDIDA","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",30,"20º46'07.55""","104º19'11.32""",1360,"PROTECCION CIVIL MPAL.","01324-2470281            CEL. 045324-1061620",20.7687638888889,-104.319811111111
"61-80.17",77,"TELESECUNDARIA","AMATLAN DE CAÑAS","LA YERBABUENA","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",30,"20º46'10.77""","104º17'36.88""",1540,"PROTECCION CIVIL MPAL.","01324-2470281            CEL. 045324-1061620",20.7696583333333,-104.293577777778
"61-80.18",78,"ESCUELA PRIMARIA","AMATLAN DE CAÑAS","LA YERBABUENA","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",50,"20º46'10.77""","104º17'36.88""",1540,"PROTECCION CIVIL MPAL.","01324-2470281            CEL. 045324-1061620",20.7696583333333,-104.293577777778
"61-80.19",79,"TELESECUNDARIA","AMATLAN DE CAÑAS","SAN BLASITO","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",50,"20º41'51.20""","104º17'37.96""",900,"PROTECCION CIVIL MPAL.","01324-2470281            CEL. 045324-1061620",20.6975555555556,-104.293877777778
"61-80.20",80,"ESCUELA PRIMARIA","AMATLAN DE CAÑAS","SAN BLASITO","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",75,"20º41'51.20""","104º17'37.96""",900,"PROTECCION CIVIL MPAL.","01324-2470281            CEL. 045324-1061620",20.6975555555556,-104.293877777778
"81-102.1",81,"ESCUELA PRIMARIA","AMATLAN DE CAÑAS","JESUS MARIA","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",75,"20º40'43.66""","104º16'59.46""",900,"PROTECCION CIVIL MPAL.","01324-2470281            CEL. 045324-1061620",20.6787944444444,-104.283183333333
"81-102.2",82,"TELESECUNDARIA","AMATLAN DE CAÑAS","JESUS MARIA","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",50,"20º40'43.66""","104º16'59.46""",900,"PROTECCION CIVIL MPAL.","01324-2470281            CEL. 045324-1061620",20.6787944444444,-104.283183333333
"81-102.6",86,"ESTADIO MUNICIPAL","COMPOSTELA","CALZADA GILBERTO FLORES MUÑOS Y LA PAZ ","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",300,"21º14'38.03""","104º54'14.82""",860,"C. ADRIAN FREGOSO TEL  CASA ","327-2771226",21.2438972222222,-104.904116666667
"81-102.7",87,"ESCUELA SECUNDARIA CONSTITUCION 1857","COMPOSTELA","GILBERTO FLORES MUÑOZ No. 77 PONIENTE (LOCALIDAD COMPOSTELA)","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",300,"21º14'37.39""","104º54'12.03""",860,"DIR ENRIQUE MARTINEZ DOMINGUEZ ","327-2770033               CEL 311-2500981",21.2437194444444,-104.903341666667
"81-102.8",88,"ESCUELA PRIMARIA “AMADO NERVO”","COMPOSTELA","ALDAMA Y LEANDRO VALLE No. 192 (LOCALIDAD COMPOSTELA)","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",500,"21º14'29.07""","104º53'59.57""",860,"C. ISMAEL GONZALEZ AGUAYO .","327-280150",21.2414083333333,-104.899880555556
"81-102.9",89,"ESCUELA “ÚLTIMO EMPERADOR AZTECA”","COMPOSTELA","JUÁREZ Y FRANCISCO SARABIA ","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",300,"21º14'14.78""","104º53'30.94""",860,"C. ROSA VILLA PEÑA ","327-2770567",21.2374388888889,-104.891927777778
"81-102.10",90,"ESC. SEC. FED. “RAÚL ERNESTO DELGADO”","COMPOSTELA","MORENO Y CALOCA","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",500,"21º14'07.78""","104º53'46.95""",860,"C. XOCHITL FIGUEROA IBARRA ","327-2770752            327-2772392",21.2354944444444,-104.896375
"81-102.11",91,"SALON EJIDAL LIBRADO DE RIVERA","COMPOSTELA","AV. VALLARTA NO. 63","EJIDAL","AGUA, SANITARIOS Y LUZ ELECTRICA",160,"21º13'46.28""","104º54'08.46""",850,"C. VERONICA RODRIGUEZ SALAZAR ","CEL. 327-1038898",21.2295222222222,-104.90235
"81-102.12",92,"ESCUELA PRIMARIA “REVOLUCIÓN”","COMPOSTELA","ZACUALPAN","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",500,"21º15'01.42""","105º09'56.98""",15,"BERTHA ALICIA PELAYO LOPEZ ","327-2730314",21.2503944444444,-105.165827777778
